Kingdom,Phylum,Class,Order,Family,Genus,Species,Infrarank,Subpopulation,Taxon ID,Friendly Name,Taxonomic Authority 
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Habromys,lophurus,N/A,N/A,9610,"Habromys lophurus","(Osgood, 1904)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Habromys,simulatus,N/A,N/A,9611,"Habromys simulatus","(Osgood, 1904)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Hadromys,humei,N/A,N/A,9618,"Hadromys humei","(Thomas, 1886)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,DIPODIDAE,Jaculus,thaleri,N/A,N/A,45958882,"Jaculus thaleri","Darvish &amp; Hosseinie, 2005"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Haeromys,margarettae,N/A,N/A,9630,"Haeromys margarettae","(Thomas, 1893)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Ammospermophilus,harrisii,N/A,N/A,42399,"Ammospermophilus harrisii","(Audubon &amp; Bachman, 1854)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Haeromys,minahassae,N/A,N/A,9631,"Haeromys minahassae","(O, Thomas, 1896)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Haeromys,pusillus,N/A,N/A,9632,"Haeromys pusillus","(Thomas, 1893)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Ammospermophilus,insularis,N/A,N/A,42400,"Ammospermophilus insularis","Nelson &amp; Goldman, 1909"
ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,ERINACEIDAE,Podogymnura,truei,N/A,N/A,17828,"Podogymnura truei","Mearns, 1905"
ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,ERINACEIDAE,Podogymnura,aureospinula,N/A,N/A,17829,"Podogymnura aureospinula","Heaney &amp; Morgan, 1982"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Podomys,floridanus,N/A,N/A,17830,"Podomys floridanus","(Chapman, 1889)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Podoxymys,roraimae,N/A,N/A,17831,"Podoxymys roraimae","Anthony, 1929"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,DASYPROCTIDAE,Dasyprocta,variegata,N/A,N/A,89497716,"Dasyprocta variegata","Goldman, 1913"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,NESOMYIDAE,Dendromus,ruppi,N/A,N/A,45959000,"Dendromus ruppi","Dieterlen, 2009"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,NESOMYIDAE,Dendromus,lachaisei,N/A,N/A,45958985,"Dendromus lachaisei","Denys &amp; Aniskine, 2012"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Hapalomys,delacouri,N/A,N/A,9679,"Hapalomys delacouri","Thomas, 1927"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Hapalomys,longicaudatus,N/A,N/A,9680,"Hapalomys longicaudatus","Blyth, 1859"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Ammospermophilus,interpres,N/A,N/A,42451,"Ammospermophilus interpres","(Merriam, 1890)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Ammospermophilus,leucurus,N/A,N/A,42452,"Ammospermophilus leucurus","(Merriam, 1889)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Pogonomelomys,bruijnii,N/A,N/A,17877,"Pogonomelomys bruijnii","(Peters &amp; Doria, 1876)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Cynomys,gunnisoni,N/A,N/A,42453,"Cynomys gunnisoni","(Baird, 1855)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Pogonomelomys,mayeri,N/A,N/A,17878,"Pogonomelomys mayeri","(Rothschild &amp; Dollman, 1932)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Cynomys,leucurus,N/A,N/A,42454,"Cynomys leucurus","Merriam, 1890"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Abeomelomys,sevia,N/A,N/A,17879,"Abeomelomys sevia","(Tate &amp; Archbold, 1935)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Marmota,broweri,N/A,N/A,42455,"Marmota broweri","Hall &amp; Gilmore, 1934"
